Full Name,Fighter_Id,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Sarah Alpar,49b130de1da2e1bf,Too Sweet,5.4,135.0,63.0,Southpaw,9,6,0,False
Ali AlQaisi,e87a13e02c01331d,The Royal Fighter,5.6,135.0,68.0,Orthodox,8,5,0,False
Rico Altamirano,c61b49cec6abd6b9,No Nickname,5.1,170.0,,Orthodox,4,3,0,False
Victor Altamirano,dc7927cd622676a7,El Magnifico,5.8,125.0,70.0,Switch,12,5,0,False
Mike Altman,c11036da9162cb5f,No Nickname,5.1,185.0,,Orthodox,1,4,0,False
Patricia Alujas,430c533614d45813,The Angel,5.4,115.0,64.0,Orthodox,9,3,0,False
Sean Alvarez,e741536153227386,No Nickname,6.0,235.0,,Orthodox,4,3,0,False
Eddie Alvarez,33a331684283900f,No Nickname,5.9,155.0,69.0,Orthodox,29,6,0,False
Jaime Alvarez,4438482bd1d5a029,No Nickname,5.8,125.0,69.0,Orthodox,6,1,0,False
Joel Alvarez,58bbef3770bb2dfc,El Fenomeno,6.3,155.0,77.0,Orthodox,23,3,0,False
Thiago Alves,31ee470ef5dc8d7f,Pitbull,5.9,170.0,70.0,Orthodox,23,15,0,False
Anthony Alves,bd92cf5da5413d2a,No Nickname,,,,Orthodox,1,4,0,False
Amilcar Alves,dc5a6b2fdb27e7dc,No Nickname,6.0,170.0,,Southpaw,15,12,0,False
Warlley Alves,d317a5e2b3f88c5f,No Nickname,5.11,185.0,72.0,Orthodox,15,8,0,False
Rafael Alves,029afd138865d20a,The Turn,5.8,155.0,68.0,Orthodox,20,12,0,False
Sam Alvey,d156513a19acf856,Smile'N,6.2,185.0,75.0,Southpaw,33,18,1,False
Christopher Alvidrez,f4abf9aeda861283,The Newborn,6.0,170.0,74.0,Orthodox,7,1,0,False
Mahamed Aly,86c1441676af2c73,No Nickname,6.2,205.0,78.0,Orthodox,4,1,0,False
Andre Amado,20821819c401ced8,Dida,6.0,154.0,,Orthodox,6,4,1,False
Adlan Amagov,1e327b281ef6a745,Borz,6.2,170.0,76.0,Orthodox,14,2,1,False
Maiara Amanajas dos Santos,247fbbfafea60bb1,No Nickname,5.5,115.0,,Southpaw,7,3,0,False
Chris Amarante,ee0b69e307c857e5,No Nickname,,185.0,,Orthodox,2,0,0,False
Jimmy Ambriz,c912f676692c353a,The Titan,6.2,315.0,,Southpaw,17,21,1,False
JJ Ambrose,d562b12b8fe88336,No Nickname,5.1,170.0,,Orthodox,28,7,0,False
Alen Amedovski,70fa1c64a2c439ef,No Nickname,5.1,185.0,74.0,Orthodox,8,4,0,False
Hyder Amil,41cc71cbf210e0fe,The Hurricane,5.9,145.0,70.0,Switch,11,2,0,False
Hamid Amiri,6c40705cf6c0d7e2,The Storm,,145.0,,Orthodox,9,0,0,False
Makwan Amirkhani,87a1dc546b1c5caf,Mr. Finland,5.1,145.0,72.0,Southpaw,17,9,0,False
Jaqueline Amorim,bc7d1ad49fcb2d08,No Nickname,5.3,115.0,68.0,Orthodox,10,2,0,False
Yaroslav Amosov,f139d6836efd43dd,No Nickname,,170.0,,Orthodox,28,1,0,False
Bertrand Amoussou,53adf5b845d91e4a,No Nickname,5.8,190.0,,Orthodox,1,1,0,False
Karl Amoussou,23a8c33869bf5392,The Psycho,5.11,185.0,,Orthodox,27,7,2,False
Eryk Anders,cad24459b28592ca,Ya Boi,6.1,185.0,75.0,Southpaw,17,9,0,False
Matt Andersen,8738eacd62e82a32,No Nickname,6.2,230.0,,Southpaw,14,8,1,False
Andy Anderson,9199e0735b83dd32,The Hammer,5.6,240.0,,Orthodox,0,1,0,False
Lowell Anderson,1ffc38f67785797b,No Nickname,5.6,160.0,,Orthodox,0,1,0,False
Corey Anderson,5e4eec08896c9423,Overtime,6.3,205.0,79.0,Orthodox,14,5,0,False
