Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Avg Rounds,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
da816417a579a0bd,Gavin Tucker,Guv'nor,5.6,145.0,Southpaw,13,3,0,False,2.43,617.14,0.14,54.71,2.57,1.0,184.71,0.48,0.3,0.44,0.69,0.44,0.39,0.35,1.0,0.29,Featherweight,Male,Wrestler
1ed32eaaba9ffe10,Jumabieke Tuerxun,The Wild Wolf,5.7,135.0,Orthodox,19,4,1,False,2.33,635.67,0.33,32.67,2.0,1.0,275.67,0.39,0.3,0.47,0.7,0.31,0.25,0.61,1.0,0.33,Bantamweight,Male,Wrestler
c62fbc117d57b943,Tai Tuivasa,Bam Bam,6.2,264.0,Southpaw,15,8,0,False,1.81,433.75,0.44,35.0,0.69,0.19,68.12,0.57,0.49,0.65,0.57,0.49,0.56,0.47,0.19,0.0,Heavyweight,Male,Hybrid
aceffa19749c4dc0,Zubaira Tukhugov,Warrior,5.8,155.0,Orthodox,20,6,1,False,2.56,751.33,0.11,35.56,1.22,0.0,94.56,0.35,0.3,0.56,0.52,0.33,0.47,0.4,0.0,0.11,Featherweight,Male,Hybrid
9384e71bca6c409d,Marco Tulio,Matuto,6.0,185.0,Orthodox,14,2,0,False,1.67,393.33,0.33,24.33,0.67,0.0,61.67,0.43,0.35,0.58,0.65,0.4,0.54,0.23,0.0,0.0,Middleweight,Male,Hybrid
17cb6d8e8187f304,Nyamjargal Tumendemberel,Art of Knockout,5.7,125.0,Orthodox,9,1,0,False,3.0,900.0,0.0,44.0,4.0,0.0,285.0,0.41,0.31,0.89,0.91,0.43,0.33,0.5,0.0,0.0,Flyweight,Male,Striker
ff6a1f63c254127e,Albert Tumenov,Einstein,5.11,170.0,Orthodox,18,4,0,False,2.12,556.25,0.25,31.25,0.38,0.12,60.88,0.41,0.34,0.57,0.54,0.38,0.43,0.24,0.12,0.12,Welterweight,Male,Hybrid
cd3d7e37ff2d679c,Ricky Turcios,No Nickname,5.9,135.0,Orthodox,13,5,0,False,2.8,808.4,0.4,56.6,1.2,0.4,146.2,0.46,0.41,0.75,0.87,0.39,0.61,0.51,0.4,0.8,Bantamweight,Male,Striker
82529ce93cd9a2cf,Anton Turkalj,The Pleasure Man,6.4,205.0,Orthodox,8,4,0,False,2.0,497.75,0.0,24.25,1.25,0.0,74.5,0.56,0.26,0.56,0.7,0.53,0.56,0.25,0.0,0.25,Light Heavyweight,Male,Hybrid
4dcfb28c011c11b2,Wellington Turman,The Prodigy,6.0,170.0,Orthodox,18,8,0,False,2.33,644.33,0.0,40.11,0.78,0.56,134.22,0.55,0.5,0.61,0.74,0.41,0.6,0.53,0.56,0.0,Middleweight,Male,Striker
4d8fa64202cee4c1,Jalin Turner,The Tarantula,6.3,155.0,Southpaw,15,9,0,False,1.71,405.07,0.29,35.0,0.57,0.5,84.71,0.56,0.42,0.48,0.77,0.53,0.34,0.49,0.5,0.29,Lightweight,Male,Striker
c9cf753cfdf77fc2,Marcin Tybura,Tybur,6.3,246.0,Orthodox,27,10,0,False,2.39,650.7,0.13,38.74,0.83,0.09,160.0,0.48,0.41,0.69,0.63,0.4,0.48,0.48,0.09,0.09,Heavyweight,Male,Striker
8f2deefe8c5dfb5d,Alberto Uda,No Nickname,6.3,185.0,Orthodox,12,2,0,False,1.5,318.0,0.0,12.5,1.0,0.5,54.5,0.63,0.67,0.3,0.0,0.38,0.42,0.65,0.5,0.5,Middleweight,Male,Hybrid
f00ac08ab056af5d,Tagir Ulanbekov,No Nickname,5.7,125.0,Southpaw,17,3,0,False,2.62,741.75,0.38,42.75,2.0,1.25,322.75,0.52,0.48,0.79,0.69,0.44,0.55,0.64,1.25,0.25,Flyweight,Male,Wrestler
9014c02eff8b3d62,Carlos Ulberg,Black Jag,6.4,205.0,Orthodox,14,1,0,False,1.9,479.5,0.5,50.2,0.3,0.1,20.4,0.56,0.48,0.73,0.74,0.54,0.27,0.4,0.1,0.0,Light Heavyweight,Male,Hybrid
7a39bbac8cc0fa70,Gasan Umalatov,Cobra,5.11,170.0,Orthodox,17,4,2,False,3.0,900.0,0.0,38.0,0.75,0.0,59.75,0.4,0.3,0.6,0.92,0.36,0.64,0.25,0.0,0.0,Welterweight,Male,Hybrid
eb1723480fa2f96c,Caol Uno,Uno Shoten,5.7,155.0,Southpaw,33,19,5,False,2.7,743.8,0.1,28.2,2.1,0.2,287.3,0.48,0.36,0.6,0.78,0.39,0.6,0.61,0.2,0.6,Lightweight,Male,Wrestler
4b8fb0453a596b8e,Hector Urbina,El Toro,5.11,170.0,Orthodox,17,10,1,False,1.67,392.67,0.0,14.0,2.67,0.0,309.33,0.53,0.5,0.33,0.67,0.4,0.5,0.53,0.0,0.0,Welterweight,Male,Striker
